Success,Fail,Nothing
감사합니다. 리뷰 꼭 남길게요!,장사를 이렇게 해도 되는건가요?,저 지금 너무 당황스러워요… 오늘은 굶으라는 건가요?
너무 맛있어보여요! 다음에 또 올게요~,아 제가 먹고싶었던건 이게 아닌데… 제가 뭘 잘못했을까요…? ,헐... 황당 그 자체… 장난치시는 거예요?
사장님 최고예요! 잘 먹겠습니다!,제가 언제 이런 걸 주문했나요?,헉… 배고픈데… 이렇게 아무것도 못 받다니 너무해요!!!
역시 믿고 먹는 맛집이네요. 또 올게요!,저보고 이걸 먹으라고요? 좀 당황스럽네요.,"제 주문은 까먹으신건가요..? 너무 어이없어요, 환불해주세요."
우왕! 역시 사장님이 최고예요!! 적게 일하고 많이 버세요~,기대했는데 너무 실망이에요 … ,헐… 장난치시나요? 환불 부탁드려요.
냄새가 살짝 새어나오는데요… 이건 이미 성공이에요. 역시 사장님 짱!!,오늘은 컨디션이 안 좋으셨던 건가요? 평소랑 다른 느낌이에요.,
항상 일정한 그 맛… 아직 안 먹었지만 이미 알고 있잖아요? 그래서 또 왔어요!,이건 좀 다시 생각해보셔야 할 것 같아요.,
아직 안 먹었지만 이미 제 입은 웃고 있어요. 항상 감사합니다!,제가 주문한 거랑 좀 다른 것 같아요.,
사장님은 제 하루의 행복 버튼이에요. 이번에도 잘 먹겠습니다.,기대를 좀 했는데 살짝 아쉽네요. 그래도 다음엔 더 좋아질 거라 믿어요.,
오늘도 저 자신을 칭찬해요. 역시 여기로 주문하길 잘했어요.,오… 이런 스타일로 나올 줄은 몰랐어요. 참 독특하네요.,
아직 한입도 안 먹었는데 벌써 만족한 기분이에요. 항상 감사합니다!,혹시 오늘 실험적인 날이신가요? 도전 정신은 높이 평가할게요.,
집 도착하자마자 바로 열어볼 예정이에요. 이 순간이 제일 설레요!! 진짜로요!!,혹시 오늘은 랜덤 박스 이벤트였나요? 저는 분명 다른 걸 기대했는데요…,
저 지금 심장이 너무 바빠요. 오늘도 맛있겠죠? 아니 이미 맛있어요!,혹시 저 테스트 중이신가요? 단골의 충성도를 확인하시는 건 아니죠…?,
저 집에 뛰어갈거에요! 당장 먹고싶거든요 !!!,사장님… 저는 분명 다른 걸 주문했어요. 이건 조금 많이 당황스러워요.,
